name_beer,abv,name_brewery,city,country,latitude,longitude,descript,cat_name,style_name
Hocus Pocus,4.5,Magic Hat,South Burlington,United States,44.4284,-73.2131,"Our take on a classic summer ale.  A toast to weeds, rays, and summer haze.  A light, crisp ale for mowing lawns, hitting lazy fly balls, and communing with nature, Hocus Pocus is offered up as a summer sacrifice to clodless days.

Its malty sweetness finishes tart and crisp and is best apprediated with a wedge of orange.",Other Style,Light American Wheat Ale or Lager
BiÃ¨re Darbyste,5.107575757575758,Brasserie de Blaugies,Blaugies,Belgium,50.3693,3.827,,Other Style,Light American Wheat Ale or Lager
Isolation Ale,6.0,Odell Brewing,Fort Collins,United States,40.5894,-105.06299999999999,"Ever been in a warm, cozy cabin and had a secret desire to get snowed in? To celebrate the winter season, we offer our Isolation Ale - a traditional winter brew made with premium malts imported from England. It's just one of the reasons Isolation Ale stands alone.",Other Style,Winter Warmer
Nut Cracker Ale,5.9,Boulevard Brewing Company,Kansas City,United States,39.0821,-94.5965,"Nutcracker Ale is Boulevardâ€™s holiday gift for real beer lovers. This hearty, warming brew is a classic winter ale, deep amber in color, with hints of molasses balanced by the â€œspicinessâ€ of freshly harvested Chinook hops.",Other Style,Winter Warmer
Never Summer Ale,5.94,Boulder Beer Company,Boulder,United States,40.0267,-105.24799999999999,,Other Style,Winter Warmer
Sunshine Wheat,4.8,New Belgium Brewing,Fort Collins,United States,40.5929,-105.07,"SUNSHINE WHEAT is a great beer for trouncing thirst.  Yet, it has a depth of character that inspires a quiet momentâ€™s reflection. Sunshine Wheat swirls in the mouth with ripples of coriander and orange peel tartness, settling nicely into a tranquil sea of apple and honey tones.  A filtered wheat beer, Sunshine offers a crisp, refreshing alternative to heavier-bodied heffe-weizens.",Other Style,Light American Wheat Ale or Lager
Easy Street Wheat,4.6,Odell Brewing,Fort Collins,United States,40.5894,-105.06299999999999,"Light and refreshing, Easy Street Wheat is an unfiltered American-style wheat beer. Leaving in the yeast gives the beer a nice, smooth finish and a slightly citrusy flavor. Easy Street Wheat gets its name by brewers \taking it easy\"" and not filtering the beer. However",Other Style,Light American Wheat Ale or Lager
Schuylkill Punch,6.0,Manayunk Brewery and Restaurant,Philadelphia,United States,40.0236,-75.2202,"Ruby colored ale fermented with over 500 pounds of real black and red raspberries for a distinct berry aroma and a tart, sweet flavor. This beer is gently filtered to preserve its delicate profile and is made with both Belgian Ale Yeast and our Proprietary Lager Strain.",Other Style,Fruit Beer
Lemon Wheat,5.107575757575758,Firehouse Brewery & Restaurant,Red Oak,United States,41.0117,-95.2272,,Other Style,Light American Wheat Ale or Lager
Wexford Irish Cream Ale,5.0,Greene King,Bury St. Edmunds,United Kingdom,52.24100000000001,0.7157,"Based on a traditional Irish recipe from county Wexford that dates back to 1810, we use only the best ingredients to ensure that our Wexford Ale has a smooth mellow creaminess we believe you will enjoy.",Other Style,American-Style Cream Ale or Lager
Sirius,7.0,Lagunitas Brewing Company,Petaluma,United States,38.2724,-122.662,,Other Style,American-Style Cream Ale or Lager
Blueberry Wheat,5.107575757575758,Chelsea Brewing Company,New York,United States,40.7457,-74.0086,,Other Style,Light American Wheat Ale or Lager
Apple Ale,5.107575757575758,Basil T's Brew Pub and Italian Grill,Toms River,United States,39.9767,-74.1829,,Other Style,Light American Wheat Ale or Lager
Framboise,5.107575757575758,Green Bay Brewing,Green Bay,United States,44.5189,-88.0196,,Other Style,Light American Wheat Ale or Lager
Vanilla Berry Orange,5.107575757575758,Bricktown Brewery,Dubuque,United States,42.4965,-90.6652,,Other Style,Light American Wheat Ale or Lager
