,abv,d_Belgian and French Ale,d_British Ale,d_German Ale,d_German Lager,d_Irish Ale,d_North American Ale,d_North American Lager,d_Other Lager,d_Other Style,d_Argentina,d_Australia,d_Austria,d_Belgium,d_Brazil,d_Canada,d_China,d_Czech Republic,d_Denmark,d_England,d_Finland,d_France,d_Germany,d_Guatemala,d_Hungary,d_India,d_Ireland,d_Italy,d_Jamaica,d_Kenya,d_Macao,d_Mexico,d_Namibia,d_Netherlands,d_New Zealand,d_Philippines,d_Poland,d_Russia,d_Spain,d_Sri Lanka,d_Sweden,d_Switzerland,d_United Kingdom,d_United States,d_American Rye Ale or Lager,d_American-Style Amber/Red Ale,d_American-Style Barley Wine Ale,d_American-Style Brown Ale,d_American-Style Cream Ale or Lager,d_American-Style Dark Lager,d_American-Style Imperial Stout,d_American-Style India Black Ale,d_American-Style India Pale Ale,d_American-Style Lager,d_American-Style Light Lager,d_American-Style Pale Ale,d_American-Style Stout,d_American-Style Strong Pale Ale,d_Baltic-Style Porter,d_Belgian-Style Dark Strong Ale,d_Belgian-Style Dubbel,d_Belgian-Style Fruit Lambic,d_Belgian-Style Pale Ale,d_Belgian-Style Pale Strong Ale,d_Belgian-Style Quadrupel,d_Belgian-Style Tripel,d_Belgian-Style White,d_Classic English-Style Pale Ale,d_Classic Irish-Style Dry Stout,d_Dark American-Belgo-Style Ale,d_English-Style India Pale Ale,d_English-Style Pale Mild Ale,d_European Low-Alcohol Lager,d_Extra Special Bitter,d_Foreign (Export)-Style Stout,d_French & Belgian-Style Saison,d_Fruit Beer,d_German-Style Brown Ale/Altbier,d_German-Style Doppelbock,d_German-Style Heller Bock/Maibock,d_German-Style Oktoberfest,d_German-Style Pilsener,d_German-Style Schwarzbier,d_Golden or Blonde Ale,d_Herb and Spice Beer,d_Imperial or Double India Pale Ale,d_Irish-Style Red Ale,d_Light American Wheat Ale or Lager,d_Oatmeal Stout,d_Old Ale,d_Ordinary Bitter,d_Other Belgian-Style Ales,d_Porter,d_Pumpkin Beer,d_Scotch Ale,d_Scottish-Style Light Ale,d_South German-Style Hefeweizen,d_South German-Style Weizenbock,d_Special Bitter or Best Bitter,d_Specialty Honey Lager or Ale,d_Strong Ale,d_Sweet Stout,d_Traditional German-Style Bock,d_Vienna-Style Lager,d_Winter Warmer
0,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5.107575757575758,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5.94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,4.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5.107575757575758,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
